gene,protein_classes,primary_class
TNFRSF11B,GPCR;catalytic_receptor;cytokine_receptor,GPCR
OR1D2,GPCR,GPCR
ADGRF3,GPCR,GPCR
OPN3,GPCR,GPCR
OR5H6,GPCR,GPCR
MC1R,GPCR,GPCR
ACKR2,GPCR;cytokine_receptor,GPCR
OR52N1,GPCR,GPCR
SMOX,GPCR,GPCR
OR1N1,GPCR,GPCR
OR4F5,GPCR,GPCR
NMUR2,GPCR,GPCR
NPBWR1,GPCR,GPCR
MLNR,GPCR,GPCR
DRD5,GPCR,GPCR
OR6B3,GPCR,GPCR
OR2G3,GPCR,GPCR
OR5A2,GPCR,GPCR
S1PR2,GPCR,GPCR
OR8G5,GPCR,GPCR
LPAR2,GPCR,GPCR
MRGPRX4,GPCR,GPCR
LGR4,GPCR,GPCR
OR5H14,GPCR,GPCR
OR5L2,GPCR,GPCR
OR2F1,GPCR,GPCR
OR8D2,GPCR,GPCR
OR4X2,GPCR,GPCR
OR4A5,GPCR,GPCR
OR5T1,GPCR,GPCR
FFAR3,GPCR,GPCR
OR6C4,GPCR,GPCR
TSHR,GPCR,GPCR
LPAR1,GPCR,GPCR
OR11L1,GPCR,GPCR
OR2M5,GPCR,GPCR
OR7C1,GPCR,GPCR
TAS2R39,GPCR,GPCR
ADGRF2,GPCR,GPCR
OR5J2,GPCR,GPCR
CCR3,GPCR;cytokine_receptor,GPCR
CXCR3,GPCR;cytokine_receptor,GPCR
GPR63,GPCR,GPCR
OR2A2,GPCR,GPCR
OR51E1,GPCR,GPCR
P2RY13,GPCR,GPCR
AVPR1B,GPCR,GPCR
OR4C12,GPCR,GPCR
OR7G3,GPCR,GPCR
OR5T2,GPCR,GPCR
GPR88,GPCR,GPCR
OR13F1,GPCR,GPCR
OR4Q2,GPCR,GPCR
RXFP3,GPCR,GPCR
HRH3,GPCR,GPCR
OR6B1,GPCR,GPCR
S1PR4,GPCR,GPCR
PTAFR,GPCR,GPCR
OR2T29,GPCR,GPCR
OR6X1,GPCR,GPCR
OR6C76,GPCR,GPCR
ADRB3,GPCR,GPCR
ADORA3,GPCR,GPCR
OR10G8,GPCR,GPCR
GPR68,GPCR,GPCR
HTR6,GPCR,GPCR
OR4C15,GPCR,GPCR
OR2T6,GPCR,GPCR
HTR2C,GPCR,GPCR
OR14A16,GPCR,GPCR
GPR137,GPCR,GPCR
NPFFR2,GPCR,GPCR
FSHR,GPCR,GPCR
MC3R,GPCR,GPCR
TAAR6,GPCR,GPCR
OR2L3,GPCR,GPCR
CHRM4,GPCR,GPCR
ADGRD1,GPCR,GPCR
C3AR1,GPCR,GPCR
OR4C6,GPCR,GPCR
GPR34,GPCR,GPCR
TXNRD2,GPCR,GPCR
ACKR3,GPCR;cytokine_receptor,GPCR
CX3CR1,GPCR;cytokine_receptor,GPCR
FFAR4,GPCR,GPCR
GPR162,GPCR,GPCR
OR1F1,GPCR,GPCR
TXNRD3,GPCR,GPCR
CRHR1,GPCR,GPCR
OR51S1,GPCR,GPCR
LPAR5,GPCR,GPCR
OR52N5,GPCR,GPCR
OR3A3,GPCR,GPCR
OR4D9,GPCR,GPCR
OPRL1,GPCR,GPCR
OR5A1,GPCR,GPCR
GRM3,GPCR,GPCR
GRM2,GPCR,GPCR
OR5D18,GPCR,GPCR
OR1E1,GPCR,GPCR
OR8B3,GPCR,GPCR
CXCR5,GPCR;cytokine_receptor,GPCR
FZD7,GPCR,GPCR
GPR176,GPCR,GPCR
OR2V1,GPCR,GPCR
CCR2,GPCR;cytokine_receptor,GPCR
AVPR1A,GPCR,GPCR
OR6C6,GPCR,GPCR
PTGDR,GPCR,GPCR
GHSR,GPCR,GPCR
OR5H1,GPCR,GPCR
OR52B6,GPCR,GPCR
OR10T2,GPCR,GPCR
OR2AK2,GPCR,GPCR
OR4C5,GPCR,GPCR
OR2B3,GPCR,GPCR
OR6F1,GPCR,GPCR
OR10H5,GPCR,GPCR
GALR3,GPCR,GPCR
TAAR2,GPCR,GPCR
OR5B2,GPCR,GPCR
PARD3,GPCR,GPCR
OR4E2,GPCR,GPCR
OR6C75,GPCR,GPCR
OR8H2,GPCR,GPCR
AGTR2,GPCR,GPCR
OR2H2,GPCR,GPCR
LGR5,GPCR,GPCR
GIPR,GPCR,GPCR
GLP1R,GPCR,GPCR
OR2J3,GPCR,GPCR
ACKR1,GPCR;cytokine_receptor,GPCR
CCKBR,GPCR,GPCR
OR2L5,GPCR,GPCR
GPR42,GPCR,GPCR
OR5AS1,GPCR,GPCR
OR52H1,GPCR,GPCR
MRGPRD,GPCR,GPCR
ADGRB1,GPCR,GPCR
OR51Q1,GPCR,GPCR
GPR45,GPCR,GPCR
CXCR2,GPCR;cytokine_receptor,GPCR
F2RL3,GPCR,GPCR
ADORA2A,GPCR,GPCR
OR2F2,GPCR,GPCR
OXER1,GPCR,GPCR
OR9I1,GPCR,GPCR
OR2T4,GPCR,GPCR
OR7C2,GPCR,GPCR
TAS2R1,GPCR,GPCR
OR52K2,GPCR,GPCR
OR4A16,GPCR,GPCR
ADGRD2,GPCR,GPCR
OR5T3,GPCR,GPCR
OR6K2,GPCR,GPCR
TAAR5,GPCR,GPCR
OR4A15,GPCR,GPCR
TPRA1,GPCR,GPCR
OR7G1,GPCR,GPCR
SMO,GPCR,GPCR
OR10K1,GPCR,GPCR
GPR173,GPCR,GPCR
ADGRE1,GPCR,GPCR
ADRB2,GPCR,GPCR
OR5W2,GPCR,GPCR
OR11A1,GPCR,GPCR
